597,3001392,"analog-input","GLRF.AHU-21.EREFILT-DP","ERU Exhaust Filter Differential Pressure"
597,3001393,"analog-input","GLRF.AHU-21.EWSA--DP","Enthalpy Wheel Supply Diff Press"
597,3001394,"analog-input","GLRF.AHU-21.EWEA-DP","Enthalpy Wheel Exhaust Diff Press"
597,3001399,"analog-input","GLRF.AHU-21.EREF-F","ERU Exhaust Air Flow"
597,3001400,"analog-input","GLRF.AHU-21.ERSFFILT-DP","ERU SA Final Filter Differ Pressure"
597,3001701,"analog-input","GLRF.ERU-21.ERU_Wheel_VFD_Signal_Volts",""
597,3001702,"analog-input","GLRF.ERU-21.HW_Coil_Leaving_Air_Temp_T5","HWC_Lvg_Air_Temp_T5"
597,3001703,"analog-input","GLRF.ERU-21.Supply_Air_Duct_Humidity_H4_Volts","SA_Humidity_H4"
597,3001704,"analog-input","GLRF.ERU-21.Supply_Air_Duct_Temp_T4","SA_Temp_T4"
597,3001705,"analog-input","GLRF.ERU-21.Outside_Air_Duct_Humidity_H3_Volts","OA_Humidity_H3"
597,3001706,"analog-input","GLRF.ERU-21.Outside_Air_Duct_Temp_T3","OA_Temp_T3"
597,3001707,"analog-input","GLRF.ERU-21.Exhaust_Air_Duct_Humidity_H2_Volts",""
597,3001708,"analog-input","GLRF.ERU-21.Exhaust_Air_Duct_Temp_T2","EA_Temp_T2"
597,3001709,"analog-input","GLRF.ERU-21.Return_Air_Duct_Humidity_H1_Volts","RA_Humidity_H1"
597,3001710,"analog-input","GLRF.ERU-21.Return_Air_Duct_Temp_T1","RA_Temp_T1"
597,3002522,"analog-input","GLRF.ABSL PRESS ALARMS.1024E-DP","Corr 1024 to 1024E Diffential Pressure"
597,3002524,"analog-input","GLRF.ABSL PRESS ALARMS.1024F1-DP","1024E to 1024F Diffential Pressure"
597,3002526,"analog-input","GLRF.ABSL PRESS ALARMS.1024F2-DP","1058 to 1024F Diffential Pressure"
